import time: self [us] | cumulative | imported package
import time:        85 |         85 | winreg
import time:       223 |        223 |   _io
import time:        28 |         28 |   marshal
import time:       141 |        141 |   nt
import time:       306 |        698 | _frozen_importlib_external
import time:       424 |        424 |   time
import time:       104 |        528 | zipimport
import time:        38 |         38 |     _codecs
import time:       251 |        289 |   codecs
import time:       825 |        825 |   encodings.aliases
import time:      1333 |       2446 | encodings
import time:       471 |        471 | encodings.utf_8
import time:       437 |        437 | encodings.cp1252
import time:        47 |         47 | _signal
import time:        28 |         28 |     _abc
import time:       113 |        141 |   abc
import time:       126 |        267 | io
import time:        54 |         54 |       _stat
import time:        61 |        114 |     stat
import time:       566 |        566 |     _collections_abc
import time:        42 |         42 |       genericpath
import time:        88 |         88 |       _winapi
import time:        75 |        204 |     ntpath
import time:       243 |       1126 |   os
import time:        57 |         57 |   _sitebuiltins
import time:       992 |        992 |   encodings.utf_8_sig
import time:      1137 |       1137 |   _virtualenv
import time:       762 |        762 |   _distutils_hack
import time:       347 |        347 |   sitecustomize
import time:      2375 |       6793 | site
import time:       852 |        852 |   pyama_pro
import time:       779 |        779 |         types
import time:       131 |        131 |           _operator
import time:       819 |        949 |         operator
import time:       153 |        153 |             itertools
import time:       686 |        686 |             keyword
import time:      1299 |       1299 |             reprlib
import time:       199 |        199 |             _collections
import time:      1854 |       4189 |           collections
import time:       104 |        104 |           _functools
import time:      1584 |       5877 |         functools
import time:      2136 |       9739 |       enum
import time:        98 |         98 |         _sre
import time:       736 |        736 |           re._constants
import time:       775 |       1511 |         re._parser
import time:       511 |        511 |         re._casefix
import time:      1137 |       3256 |       re._compiler
import time:       788 |        788 |       copyreg
import time:      1008 |      14789 |     re
import time:       753 |        753 |     warnings
import time:      1063 |       1063 |     gettext
import time:      1283 |      17886 |   argparse
import time:       800 |        800 |       collections.abc
import time:       620 |        620 |           token
import time:        95 |         95 |           _tokenize
import time:      1506 |       2220 |         tokenize
import time:       684 |       2904 |       linecache
import time:      1222 |       1222 |       textwrap
import time:       874 |        874 |       contextlib
import time:      1868 |       7666 |     traceback
import time:       902 |        902 |       _weakrefset
import time:      1031 |       1932 |     weakref
import time:        55 |         55 |       _string
import time:      1357 |       1411 |     string
import time:      1141 |       1141 |     threading
import time:        57 |         57 |     atexit
import time:      1821 |      14026 |   logging
import time:      1034 |       1034 |         signal
import time:      1104 |       2138 |       multiprocessing.process
import time:        75 |         75 |             _struct
import time:       820 |        894 |           struct
import time:       703 |        703 |           _compat_pickle
import time:       118 |        118 |           _pickle
import time:      1889 |       3603 |         pickle
import time:      2840 |       2840 |           _socket
import time:       145 |        145 |             math
import time:      1074 |       1074 |             select
import time:      1325 |       2543 |           selectors
import time:       134 |        134 |           errno
import time:      2026 |       7542 |         socket
import time:       831 |      11975 |       multiprocessing.reduction
